00|NOP
CB0B|RRC E
CB0C|RRC H
CB0D|RRC L
CB0E|RRC (HL)
CB0F|RRC A
CB10|RL B
CB11|RL C
CB12|RL D
CB13|RL E
CB14|RL H
CB15|RL L
CB16|RL (HL)
CB17|RL A
CB18|RR B
CB19|RR C
CB1A|RR D
CB1B|RR E
CB1C|RR H
CB1D|RR L
CB1E|RR (HL)
CB1F|RR A
CB20|SLA B
CB21|SLA C
CB22|SLA D
CB23|SLA E
CB24|SLA H
CB25|SLA L
CB26|SLA (HL)
CB27|SLA A
CB28|SRA B
CB29|SRA C
CB2A|SRA D
CB2B|SRA E
CB2C|SRA H
CB2D|SRA L
CB2E|SRA (HL)
CB2F|SRA A
CB30|SLL B
CB31|SLL C
CB32|SLL D
CB33|SLL E
CB34|SLL H
CB35|SLL L
CB36|SLL (HL)
CB37|SLL A
CB38|SRL B
CB39|SRL C
CB3A|SRL D
CB3B|SRL E
CB3C|SRL H
CB3D|SRL L
CB3E|SRL (HL)
CB3F|SRL A
CB40|BIT 0, B
CB41|BIT 0, C
CB42|BIT 0, D
CB43|BIT 0, E
CB44|BIT 0, H
CB45|BIT 0, L
CB46|BIT 0, (HL)
CB47|BIT 0, A
CB48|BIT 1, B
CB49|BIT 1, C
CB4A|BIT 1, D
CB4B|BIT 1, E
CB4C|BIT 1, H
CB4D|BIT 1, L
CB4E|BIT 1, (HL)
CB4F|BIT 1, A
CB50|BIT 2, B
CB51|BIT 2, C
CB52|BIT 2, D
CB53|BIT 2, E
CB54|BIT 2, H
CB55|BIT 2, L
CB56|BIT 2, (HL)
CB57|BIT 2, A
CB58|BIT 3, B
CB59|BIT 3, C
CB5A|BIT 3, D
CB5B|BIT 3, E
CB5C|BIT 3, H
CB5D|BIT 3, L
CB5E|BIT 3, (HL)
CB5F|BIT 3, A
CB60|BIT 4, B
CB61|BIT 4, C
CB62|BIT 4, D
CB63|BIT 4, E
CB64|BIT 4, H
CB65|BIT 4, L
CB66|BIT 4, (HL)
CB67|BIT 4, A
CB68|BIT 5, B
CB69|BIT 5, C
CB6A|BIT 5, D
CB6B|BIT 5, E
CB6C|BIT 5, H
CB6D|BIT 5, L
CB6E|BIT 5, (HL)
CB6F|BIT 5, A
CB70|BIT 6, B
CB71|BIT 6, C
CB72|BIT 6, D
CB73|BIT 6, E
CB74|BIT 6, H
CB75|BIT 6, L
CB76|BIT 6, (HL)
CB77|BIT 6, A
CB78|BIT 7, B
CB79|BIT 7, C
CB7A|BIT 7, D
CB7B|BIT 7, E
CB7C|BIT 7, H
CB7D|BIT 7, L
CB7E|BIT 7, (HL)
CB7F|BIT 7, A
CB80|RES 0, B
CB81|RES 0, C
CB82|RES 0, D
CB83|RES 0, E
CB84|RES 0, H
CB85|RES 0, L
CB86|RES 0, (HL)
CB87|RES 0, A
CB88|RES 1, B
CB89|RES 1, C
CB8A|RES 1, D
CB8B|RES 1, E
CB8C|RES 1, H
CB8D|RES 1, L
CB8E|RES 1, (HL)
CB8F|RES 1, A
CB90|RES 2, B
CB91|RES 2, C
CB92|RES 2, D
CB93|RES 2, E
CB94|RES 2, H
CB95|RES 2, L
CB96|RES 2, (HL)
CB97|RES 2, A
CB98|RES 3, B
CB99|RES 3, C
CB9A|RES 3, D
CB9B|RES 3, E
CB9C|RES 3, H
CB9D|RES 3, L
CB9E|RES 3, (HL)
CB9F|RES 3, A
CBA0|RES 4, B
CBA1|RES 4, C
CBA2|RES 4, D
CBA3|RES 4, E
CBA4|RES 4, H
CBA5|RES 4, L
CBA6|RES 4, (HL)
CBA7|RES 4, A
CBA8|RES 5, B
CBA9|RES 5, C
CBAA|RES 5, D
CBAB|RES 5, E
CBAC|RES 5, H
CBAD|RES 5, L
CBAE|RES 5, (HL)
CBAF|RES 5, A
CBB0|RES 6, B
CBB1|RES 6, C
CBB2|RES 6, D
CBB3|RES 6, E
CBB4|RES 6, H
CBB5|RES 6, L
CBB6|RES 6, (HL)
CBB7|RES 6, A
CBB8|RES 7, B
CBB9|RES 7, C
CBBA|RES 7, D
CBBB|RES 7, E
CBBC|RES 7, H
CBBD|RES 7, L
CBBE|RES 7, (HL)
CBBF|RES 7, A
CBC0|SET 0, B
CBC1|SET 0, C
CBC2|SET 0, D
CBC3|SET 0, E
CBC4|SET 0, H
CBC5|SET 0, L
CBC6|SET 0, (HL)
CBC7|SET 0, A
CBC8|SET 1, B
CBC9|SET 1, C
CBCA|SET 1, D
CBCB|SET 1, E
CBCC|SET 1, H
CBCD|SET 1, L
CBCE|SET 1, (HL)
CBCF|SET 1, A
CBD0|SET 2, B
CBD1|SET 2, C
CBD2|SET 2, D
CBD3|SET 2, E
CBD4|SET 2, H
CBD5|SET 2, L
CBD6|SET 2, (HL)
CBD7|SET 2, A
CBD8|SET 3, B
CBD9|SET 3, C
CBDA|SET 3, D
CBDB|SET 3, E
CBDC|SET 3, H
CBDD|SET 3, L
CBDE|SET 3, (HL)
CBDF|SET 3, A
CBE0|SET 4, B
CBE1|SET 4, C
CBE2|SET 4, D
CBE3|SET 4, E
CBE4|SET 4, H
CBE5|SET 4, L
CBE6|SET 4, (HL)
CBE7|SET 4, A
CBE8|SET 5, B
CBE9|SET 5, C
CBEA|SET 5, D
CBEB|SET 5, E
CBEC|SET 5, H
CBED|SET 5, L
CBEE|SET 5, (HL)
CBEF|SET 5, A
CBF0|SET 6, B
CBF1|SET 6, C
CBF2|SET 6, D
CBF3|SET 6, E
CBF4|SET 6, H
CBF5|SET 6, L
CBF6|SET 6, (HL)
CBF7|SET 6, A
CBF8|SET 7, B
CBF9|SET 7, C
CBFA|SET 7, D
CBFB|SET 7, E
CBFC|SET 7, H
CBFD|SET 7, L
CBFE|SET 7, (HL)
CBFF|SET 7, A
CC|CALL Z, nn
CD|CALL nn
CE|ADC A, n
CF|RST 08
D0|RET NC
D1|POP DE
D2|JP NC, nn
D3|OUT (n), A
D4|CALL NC, nn
D5|PUSH DE
D6|SUB n
D7|RST 10
D8|RET C
D9|EXX
DA|JP C, nn
DB|IN A, (n)
DC|CALL C, nn
DD00|NOP
DD01|LD BC, nn
DD02|LD (BC), A
DD03|INC BC
DD04|INC B
DD05|DEC B
DD06|LD B, n
DD07|RLCA
DD08|EX AF, AF'
DD09|ADD IX, BC
DD0A|LD A, (BC)
DD0B|DEC BC
DD0C|INC C
DD0D|DEC C
DD0E|LD C, n
DD0F|RRCA
DD10|DJNZ d
DD11|LD DE, nn
DD12|LD (DE), A
DD13|INC DE
DD14|INC D
DD15|DEC D
DD16|LD D, n
DD17|RLA
DD18|JR d
DD19|ADD IX, DE
DD1A|LD A, (DE)
DD1B|DEC DE
DD1C|INC E
DD1D|DEC E
DD1E|LD E, n
DD1F|RRA
DD20|JR NZ, d
DD21|LD IX, nn
DD22|LD (nn), IX
DD23|INC IX
DD24|INC IXH
DD25|DEC IXH
DD26|LD IXH, n
DD27|DAA
DD28|JR Z, d
DD29|ADD IX, IX
DD2A|LD IX, (nn)
DD2B|DEC IX
DD2C|INC IXL
DD2D|DEC IXL
DD2E|LD IXL, n
DD2F|CPL
DD30|JR NC, d
DD31|LD SP, nn
DD32|LD (nn), A
DD33|INC SP
DD34|INC (IX + n)
DD35|DEC (IX + n)
DD36P1|LD (IX + n), n
DD37|SCF
DD38|JR C, d
DD39|ADD IX, SP
DD3A|LD A, (nn)
DD3B|DEC SP
DD3C|INC A
DD3D|DEC A
DD3E|LD A, n
DD3F|CCF
DD40|LD B, B
DD41|LD B, C
DD42|LD B, D
DD43|LD B, E
DD44|LD B, IXH
DD45|LD B, IXL
DD46|LD B, (IX + n)
DD47|LD B, A
DD48|LD C, B
DD49|LD C, C
DD4A|LD C, D
DD4B|LD C, E
DD4C|LD C, IXH
DD4D|LD C, IXL
DD4E|LD C, (IX + n)
DD4F|LD C, A
DD50|LD D, B
DD51|LD D, C
DD52|LD D, D
DD53|LD D, E
DD54|LD D, IXH
DD55|LD D, IXL
DD56|LD D, (IX + n)
DD57|LD D, A
DD58|LD E, B
DD59|LD E, C
DD5A|LD E, D
DD5B|LD E, E
DD5C|LD E, IXH
DD5D|LD E, IXL
DD5E|LD E, (IX + n)
DD5F|LD E, A
DD60|LD IXH, B
DD61|LD IXH, C
DD62|LD IXH, D
DD63|LD IXH, E
DD64|LD IXH, IXH
DD65|LD IXH, IXL
DD66|LD H, (IX + n)
DD67|LD IXH, A
DD68|LD IXL, B
DD69|LD IXL, C
DD6A|LD IXL, D
DD6B|LD IXL, E
DD6C|LD IXL, IXH
DD6D|LD IXL, IXL
DD6E|LD L, (IX + n)
DD6F|LD IXL, A
DD70|LD (IX + n), B
DD71|LD (IX + n), C
DD72|LD (IX + n), D
DD73|LD (IX + n), E
DD74|LD (IX + n), H
DD75|LD (IX + n), L
DD76|HALT
DD77|LD (IX + n), A
DD78|LD A, B
DD79|LD A, C
DD7A|LD A, D
DD7B|LD A, E
DD7C|LD A, IXH
DD7D|LD A, IXL
DD7E|LD A, (IX + n)
DD7F|LD A, A
DD80|ADD A, B
DD81|ADD A, C
DD82|ADD A, D
DD83|ADD A, E
DD84|ADD A, IXH
DD85|ADD A, IXL
DD86|ADD A, (IX + n)
DD87|ADD A, A
DD88|ADC A, B
DD89|ADC A, C
DD8A|ADC A, D
DD8B|ADC A, E
DD8C|ADC A, IXH
DD8D|ADC A, IXL
DD8E|ADC A, (IX + n)
DD8F|ADC A, A
DD90|SUB B
DD91|SUB C
DD92|SUB D
DD93|SUB E
DD94|SUB IXH
DD95|SUB IXL
DD96|SUB (IX + n)
DD97|SUB A
DD98|SBC A, B
DD99|SBC A, C
DD9A|SBC A, D
DD9B|SBC A, E
DD9C|SBC A, IXH
DD9D|SBC A, IXL
DD9E|SBC A, (IX + n)
DD9F|SBC A, A
DDA0|AND B
DDA1|AND C
DDA2|AND D
DDA3|AND E
DDA4|AND IXH
DDA5|AND IXL
DDA6|AND (IX + n)
DDA7|AND A
DDA8|XOR B
DDA9|XOR C
DDAA|XOR D
DDAB|XOR E
DDAC|XOR IXH
DDAD|XOR IXL
DDAE|XOR (IX + n)
DDAF|XOR A
DDB0|OR B
DDB1|OR C
DDB2|OR D
DDB3|OR E
DDB4|OR IXH
DDB5|OR IXL
DDB6|OR (IX + n)
DDB7|OR A
DDB8|CP B
DDB9|CP C
DDBA|CP D
DDBB|CP E
DDBC|CP IXH
DDBD|CP IXL
DDBE|CP (IX + n)
DDBF|CP A
DDC0|RET NZ
DDC1|POP BC
DDC2|JP NZ, nn
DDC3|JP nn
DDC4|CALL NZ, nn
DDC5|PUSH BC
DDC6|ADD A, n
DDC7|RST 00
DDC8|RET Z
DDC9|RET
DDCA|JP Z, nn
DDCB00|RLC (IX + n), B
DDCB01|RLC (IX + n), C
DDCB02|RLC (IX + n), D
DDCB03|RLC (IX + n), E
DDCB04|RLC (IX + n), H
DDCB05|RLC (IX + n), L
DDCB06|RLC (IX + n)
DDCB07|RLC (IX + n), A
DDCB08|RRC (IX + n), B
DDCB09|RRC (IX + n), C
DDCB0A|RRC (IX + n), D
DDCB0B|RRC (IX + n), E
DDCB0C|RRC (IX + n), H
DDCB0D|RRC (IX + n), L
DDCB0E|RRC (IX + n)
DDCB0F|RRC (IX + n), A
DDCB10|RL (IX + n), B
DDCB11|RL (IX + n), C
DDCB12|RL (IX + n), D
DDCB13|RL (IX + n), E
DDCB14|RL (IX + n), H
DDCB15|RL (IX + n), L
DDCB16|RL (IX + n)
DDCB17|RL (IX + n), A
DDCB18|RR (IX + n), B
DDCB19|RR (IX + n), C
DDCB1A|RR (IX + n), D
DDCB1B|RR (IX + n), E
DDCB1C|RR (IX + n), H
DDCB1D|RR (IX + n), L
DDCB1E|RR (IX + n)
DDCB1F|RR (IX + n), A
DDCB20|SLA (IX + n), B
DDCB21|SLA (IX + n), C
DDCB22|SLA (IX + n), D
DDCB23|SLA (IX + n), E
DDCB24|SLA (IX + n), H
DDCB25|SLA (IX + n), L
DDCB26|SLA (IX + n)
DDCB27|SLA (IX + n), A
DDCB28|SRA (IX + n), B
DDCB29|SRA (IX + n), C
DDCB2A|SRA (IX + n), D
DDCB2B|SRA (IX + n), E
DDCB2C|SRA (IX + n), H
DDCB2D|SRA (IX + n), L
DDCB2E|SRA (IX + n)
DDCB2F|SRA (IX + n), A
DDCB30|SLL (IX + n), B
DDCB31|SLL (IX + n), C
DDCB32|SLL (IX + n), D
DDCB33|SLL (IX + n), E
DDCB34|SLL (IX + n), H
DDCB35|SLL (IX + n), L
DDCB36|SLL (IX + n)
DDCB37|SLL (IX + n), A
DDCB38|SRL (IX + n), B
DDCB39|SRL (IX + n), C
DDCB3A|SRL (IX + n), D
DDCB3B|SRL (IX + n), E
DDCB3C|SRL (IX + n), H
DDCB3D|SRL (IX + n), L
DDCB3E|SRL (IX + n)
DDCB3F|SRL (IX + n), A
DDCB40|BIT 0, (IX + n)
DDCB41|BIT 0, (IX + n)
DDCB42|BIT 0, (IX + n)
DDCB43|BIT 0, (IX + n)
DDCB44|BIT 0, (IX + n)
DDCB45|BIT 0, (IX + n)
DDCB46|BIT 0, (IX + n)
DDCB47|BIT 0, (IX + n)
DDCB48|BIT 1, (IX + n)
DDCB49|BIT 1, (IX + n)
DDCB4A|BIT 1, (IX + n)
DDCB4B|BIT 1, (IX + n)
DDCB4C|BIT 1, (IX + n)
DDCB4D|BIT 1, (IX + n)
DDCB4E|BIT 1, (IX + n)
DDCB4F|BIT 1, (IX + n)
DDCB50|BIT 2, (IX + n)
DDCB51|BIT 2, (IX + n)
DDCB52|BIT 2, (IX + n)
DDCB53|BIT 2, (IX + n)
DDCB54|BIT 2, (IX + n)
DDCB55|BIT 2, (IX + n)
DDCB56|BIT 2, (IX + n)
DDCB57|BIT 2, (IX + n)
DDCB58|BIT 3, (IX + n)
DDCB59|BIT 3, (IX + n)
DDCB5A|BIT 3, (IX + n)
DDCB5B|BIT 3, (IX + n)
DDCB5C|BIT 3, (IX + n)
DDCB5D|BIT 3, (IX + n)
DDCB5E|BIT 3, (IX + n)
DDCB5F|BIT 3, (IX + n)
DDCB60|BIT 4, (IX + n)
DDCB61|BIT 4, (IX + n)
DDCB62|BIT 4, (IX + n)
DDCB63|BIT 4, (IX + n)
DDCB64|BIT 4, (IX + n)
DDCB65|BIT 4, (IX + n)
DDCB66|BIT 4, (IX + n)
DDCB67|BIT 4, (IX + n)
DDCB68|BIT 5, (IX + n)
DDCB69|BIT 5, (IX + n)
DDCB6A|BIT 5, (IX + n)
DDCB6B|BIT 5, (IX + n)
DDCB6C|BIT 5, (IX + n)
DDCB6D|BIT 5, (IX + n)
DDCB6E|BIT 5, (IX + n)
DDCB6F|BIT 5, (IX + n)
DDCB70|BIT 6, (IX + n)
DDCB71|BIT 6, (IX + n)
DDCB72|BIT 6, (IX + n)
DDCB73|BIT 6, (IX + n)
DDCB74|BIT 6, (IX + n)
DDCB75|BIT 6, (IX + n)
DDCB76|BIT 6, (IX + n)
DDCB77|BIT 6, (IX + n)
DDCB78|BIT 7, (IX + n)
DDCB79|BIT 7, (IX + n)
DDCB7A|BIT 7, (IX + n)
DDCB7B|BIT 7, (IX + n)
DDCB7C|BIT 7, (IX + n)
DDCB7D|BIT 7, (IX + n)
DDCB7E|BIT 7, (IX + n)
DDCB7F|BIT 7, (IX + n)
DDCB80|RES 0, (IX + n), B
DDCB81|RES 0, (IX + n), C
DDCB82|RES 0, (IX + n), D
DDCB83|RES 0, (IX + n), E
DDCB84|RES 0, (IX + n), H
DDCB85|RES 0, (IX + n), L
DDCB86|RES 0, (IX + n)
DDCB87|RES 0, (IX + n), A
DDCB88|RES 1, (IX + n), B
DDCB89|RES 1, (IX + n), C
DDCB8A|RES 1, (IX + n), D
DDCB8B|RES 1, (IX + n), E
DDCB8C|RES 1, (IX + n), H
DDCB8D|RES 1, (IX + n), L
DDCB8E|RES 1, (IX + n)
DDCB8F|RES 1, (IX + n), A
DDCB90|RES 2, (IX + n), B
DDCB91|RES 2, (IX + n), C
DDCB92|RES 2, (IX + n), D
DDCB93|RES 2, (IX + n), E
DDCB94|RES 2, (IX + n), H
DDCB95|RES 2, (IX + n), L
DDCB96|RES 2, (IX + n)
DDCB97|RES 2, (IX + n), A
DDCB98|RES 3, (IX + n), B
DDCB99|RES 3, (IX + n), C
DDCB9A|RES 3, (IX + n), D
DDCB9B|RES 3, (IX + n), E
DDCB9C|RES 3, (IX + n), H
DDCB9D|RES 3, (IX + n), L
DDCB9E|RES 3, (IX + n)
DDCB9F|RES 3, (IX + n), A
DDCBA0|RES 4, (IX + n), B
DDCBA1|RES 4, (IX + n), C
DDCBA2|RES 4, (IX + n), D
DDCBA3|RES 4, (IX + n), E
DDCBA4|RES 4, (IX + n), H
DDCBA5|RES 4, (IX + n), L
DDCBA6|RES 4, (IX + n)
DDCBA7|RES 4, (IX + n), A
DDCBA8|RES 5, (IX + n), B
DDCBA9|RES 5, (IX + n), C
DDCBAA|RES 5, (IX + n), D
DDCBAB|RES 5, (IX + n), E
DDCBAC|RES 5, (IX + n), H
DDCBAD|RES 5, (IX + n), L
DDCBAE|RES 5, (IX + n)
DDCBAF|RES 5, (IX + n), A
DDCBB0|RES 6, (IX + n), B
DDCBB1|RES 6, (IX + n), C
DDCBB2|RES 6, (IX + n), D
DDCBB3|RES 6, (IX + n), E
DDCBB4|RES 6, (IX + n), H
DDCBB5|RES 6, (IX + n), L
DDCBB6|RES 6, (IX + n)
DDCBB7|RES 6, (IX + n), A
DDCBB8|RES 7, (IX + n), B
DDCBB9|RES 7, (IX + n), C
DDCBBA|RES 7, (IX + n), D
DDCBBB|RES 7, (IX + n), E
DDCBBC|RES 7, (IX + n), H
DDCBBD|RES 7, (IX + n), L
DDCBBE|RES 7, (IX + n)
DDCBBF|RES 7, (IX + n), A
DDCBC0|SET 0, (IX + n), B
DDCBC1|SET 0, (IX + n), C
DDCBC2|SET 0, (IX + n), D
DDCBC3|SET 0, (IX + n), E
DDCBC4|SET 0, (IX + n), H
DDCBC5|SET 0, (IX + n), L
DDCBC6|SET 0, (IX + n)
DDCBC7|SET 0, (IX + n), A
DDCBC8|SET 1, (IX + n), B
DDCBC9|SET 1, (IX + n), C
DDCBCA|SET 1, (IX + n), D
DDCBCB|SET 1, (IX + n), E
DDCBCC|SET 1, (IX + n), H
DDCBCD|SET 1, (IX + n), L
DDCBCE|SET 1, (IX + n)
DDCBCF|SET 1, (IX + n), A
DDCBD0|SET 2, (IX + n), B
DDCBD1|SET 2, (IX + n), C
DDCBD2|SET 2, (IX + n), D
DDCBD3|SET 2, (IX + n), E
DDCBD4|SET 2, (IX + n), H
DDCBD5|SET 2, (IX + n), L
DDCBD6|SET 2, (IX + n)
DDCBD7|SET 2, (IX + n), A
DDCBD8|SET 3, (IX + n), B
DDCBD9|SET 3, (IX + n), C
DDCBDA|SET 3, (IX + n), D
DDCBDB|SET 3, (IX + n), E
DDCBDC|SET 3, (IX + n), H
DDCBDD|SET 3, (IX + n), L
DDCBDE|SET 3, (IX + n)
DDCBDF|SET 3, (IX + n), A
DDCBE0|SET 4, (IX + n), B
DDCBE1|SET 4, (IX + n), C
DDCBE2|SET 4, (IX + n), D
DDCBE3|SET 4, (IX + n), E
DDCBE4|SET 4, (IX + n), H
DDCBE5|SET 4, (IX + n), L
DDCBE6|SET 4, (IX + n)
DDCBE7|SET 4, (IX + n), A
DDCBE8|SET 5, (IX + n), B
DDCBE9|SET 5, (IX + n), C
DDCBEA|SET 5, (IX + n), D
DDCBEB|SET 5, (IX + n), E
DDCBEC|SET 5, (IX + n), H
DDCBED|SET 5, (IX + n), L
DDCBEE|SET 5, (IX + n)
DDCBEF|SET 5, (IX + n), A
DDCBF0|SET 6, (IX + n), B
DDCBF1|SET 6, (IX + n), C
DDCBF2|SET 6, (IX + n), D
DDCBF3|SET 6, (IX + n), E
DDCBF4|SET 6, (IX + n), H
DDCBF5|SET 6, (IX + n), L
DDCBF6|SET 6, (IX + n)
DDCBF7|SET 6, (IX + n), A
DDCBF8|SET 7, (IX + n), B
DDCBF9|SET 7, (IX + n), C
DDCBFA|SET 7, (IX + n), D
DDCBFB|SET 7, (IX + n), E
DDCBFC|SET 7, (IX + n), H
DDCBFD|SET 7, (IX + n), L
DDCBFE|SET 7, (IX + n)
DDCBFF|SET 7, (IX + n), A
DDCC|CALL Z, nn
DDCD|CALL nn
DDCE|ADC A, n
DDCF|RST 08
DDD0|RET NC
DDD1|POP DE
DDD2|JP NC, nn
DDD3|OUT (n), A
DDD4|CALL NC, nn
DDD5|PUSH DE
DDD6|SUB n
DDD7|RST 10
DDD8|RET C
DDD9|EXX
DDDA|JP C, nn
DDDB|IN A, (n)
DDDC|CALL C, nn
DDDE|SBC A, n
DDDF|RST 18
DDE0|RET PO
DDE1|POP IX
DDE2|JP PO, nn
DDE3|EX (SP), IX
DDE4|CALL PO, nn
DDE5|PUSH IX
DDE6|AND n
DDE7|RST 20
DDE8|RET PE
DDE9|JP (IX)
DDEA|JP PE, nn
DDEB|EX DE, HL
DDEC|CALL PE, nn
DDEE|XOR n
DDEF|RST 28
DDF0|RET P
DDF1|POP AF
DDF2|JP P, nn
DDF3|DI
DDF4|CALL P, nn
DDF5|PUSH AF
DDF6|OR n
DDF7|RST 30
DDF8|RET M
DDF9|LD SP, IX
DDFA|JP M, nn
DDFB|EI
DDFC|CALL M, nn
DDFE|CP n
DDFF|RST 38
DE|SBC A, n
DF|RST 18
E0|RET PO
E1|POP HL
E2|JP PO, nn
E3|EX (SP), HL
E4|CALL PO, nn
E5|PUSH HL
E6|AND n
E7|RST 20
E8|RET PE
E9|JP (HL)
EA|JP PE, nn
EB|EX DE, HL
EC|CALL PE, nn
ED00|NOP
ED01|NOP
ED02|NOP
ED03|NOP
ED04|NOP
ED05|NOP
ED06|NOP
ED07|NOP
ED08|NOP
ED09|NOP
ED0A|NOP
ED0B|NOP
ED0C|NOP
ED0D|NOP
ED0E|NOP
ED0F|NOP
ED10|NOP
ED11|NOP
ED12|NOP
ED13|NOP
ED14|NOP
ED15|NOP
ED16|NOP
ED17|NOP
ED18|NOP
ED19|NOP
ED1A|NOP
ED1B|NOP
ED1C|NOP
ED1D|NOP
ED1E|NOP
ED1F|NOP
ED20|NOP
ED21|NOP
ED22|NOP
ED23|NOP
ED24|NOP
ED25|NOP
ED26|NOP
ED27|NOP
ED28|NOP
ED29|NOP
ED2A|NOP
ED2B|NOP
ED2C|NOP
ED2D|NOP
ED2E|NOP
ED2F|NOP
ED30|NOP
ED31|NOP
ED32|NOP
ED33|NOP
ED34|NOP
ED35|NOP
ED36|NOP
ED37|NOP
ED38|NOP
ED39|NOP
ED3A|NOP
ED3B|NOP
ED3C|NOP
ED3D|NOP
ED3E|NOP
ED3F|NOP
ED40|IN B, (C)
ED41|OUT (C), B
ED42|SBC HL, BC
ED43|LD (nn), BC
ED44|NEG
ED45|RETN
ED46|IM 0
ED47|LD I, A
ED48|IN C, (C)
ED49|OUT (C), C
ED4A|ADC HL, BC
ED4B|LD BC, (nn)
ED4C|NEG
ED4D|RETI
ED4E|IM 0
ED4F|LD R, A
ED50|IN D, (C)
ED51|OUT (C), D
ED52|SBC HL, DE
ED53|LD (nn), DE
ED54|NEG
ED55|RETN
ED56|IM 1
ED57|LD A, I
ED58|IN E, (C)
ED59|OUT (C), E
ED5A|ADC HL, DE
ED5B|LD DE, (nn)
ED5C|NEG
ED5D|RETI
ED5E|IM 2
ED5F|LD A, R
ED60|IN H, (C)
ED61|OUT (C), H
ED62|SBC HL, HL
ED63|LD (nn), HL
ED64|NEG
ED65|RETN
ED66|IM 0
ED67|RRD
ED68|IN L, (C)
ED69|OUT (C), L
ED6A|ADC HL, HL
ED6B|LD HL, (nn)
ED6C|NEG
ED6D|RETI
ED6E|IM 0
ED6F|RLD
ED70|IN (C)
ED71|OUT (C), 0
ED72|SBC HL, SP
ED73|LD (nn), SP
ED74|NEG
ED75|RETN
ED76|IM 1
ED77|NOP
ED78|IN A, (C)
ED79|OUT (C), A
ED7A|ADC HL, SP
ED7B|LD SP, (nn)
ED7C|NEG
ED7D|RETN
